",",类型码,子类型码,颜色标志,画图基点X,画图基点Y,,,,,
T1,1,1,0,240,280,FALSE,TRUE,0,TRUE,
D1,1,2,0,60,300,FALSE,FALSE,0,TRUE,
D3,1,2,0,100,300,TRUE,FALSE,0,TRUE,
D5,1,3,0,240,190,TRUE,FALSE,0,TRUE,
D7,1,3,0,260,220,TRUE,FALSE,0,TRUE,
D9,1,2,0,380,140,TRUE,FALSE,0,TRUE,
D11,1,3,0,420,260,TRUE,FALSE,0,TRUE,
D13,1,2,0,580,220,TRUE,FALSE,0,TRUE,
D15,1,2,0,770,180,TRUE,FALSE,0,TRUE,
D17,1,2,0,770,180,FALSE,FALSE,0,TRUE,
D19,1,2,0,770,220,TRUE,FALSE,0,TRUE,
D21,1,2,0,770,220,FALSE,FALSE,0,TRUE,
D23,1,2,0,770,60,TRUE,FALSE,0,FALSE,
L1,1,4,0,950,140,FALSE,FALSE,0,TRUE,
L2,1,4,0,950,180,FALSE,FALSE,0,TRUE,
L3,1,4,0,950,220,FALSE,FALSE,0,TRUE,
L4,1,4,0,950,260,FALSE,FALSE,0,TRUE,
1,2,1,0,130,300,1,TRUE,0,,
3,2,1,0,180,300,1,FALSE,0,,
508,2,2,0,270,300,1,FALSE,0,,
706,2,2,0,350,300,2,TRUE,0,,
9,2,1,0,610,220,1,FALSE,0,,
11,2,1,0,800,180,1,TRUE,0,,
13,2,1,0,800,220,2,FALSE,0,,
15017,2,2,0,800,60,1,FALSE,0,,
G1,3,1,0,20,300,0,0,60,300,0
G2,3,1,0,60,300,0,0,100,300,0
G3,3,1,0,200,300,0,0,240,300,0
G4,3,1,0,290,300,0,0,330,300,0
G5,3,1,0,380,300,0,0,420,260,0
G6,3,2,0,420,260,460,220,500,220,0
G7,3,1,0,540,220,0,0,580,220,0
G8,3,1,0,630,220,0,0,690,220,0
G9,3,1,0,730,220,0,0,770,220,0
G11,3,2,0,624,206,650,180,690,180,0
G12,3,1,0,730,180,0,0,770,180,0
G14,3,2,0,814,166,840,140,860,140,0
G16,3,2,0,814,234,840,260,880,260,0
G18,3,1,0,144,286,0,0,240,190,0
G19,3,2,0,240,190,370,60,770,60,0
G20,3,1,0,820,60,0,0,1000,60,0
G21,3,1,0,194,286,0,0,260,220,0
G22,3,2,0,260,220,340,140,380,140,0
G23,3,1,0,380,140,0,0,460,140,0
g1,4,1,0,500,220,,,,,
g3,4,2,0,690,180,,,,,
g5,4,2,0,690,220,,,,,
J,5,1,0,60,300,,,,,
J,5,1,0,100,300,,,,,
J,5,1,0,150,300,,,,,
J,5,1,0,200,300,,,,,
J,5,1,0,150,300,,,,,
J,5,1,0,420,260,,,,,
J,5,1,0,580,220,,,,,
J,5,1,0,770,220,,,,,
J,5,1,0,770,180,,,,,
J,5,1,0,260,220,,,,,
J,5,1,0,240,190,,,,,
J,5,1,0,770,60,,,,,
J,5,1,0,240,300,,,,,
J,5,1,0,380,140,,,,,
J,5,1,0,820,60,,,,,
J,5,1,0,910,140,,,,,
J,5,1,0,820,180,,,,,
J,5,1,0,820,220,,,,,
J,5,1,0,880,260,,,,,
J,5,1,0,380,300,,,,,
J,5,1,0,630,220,,,,,
G10,6,1,0,820,220,1000,220,0,,
G13,6,1,0,820,180,1000,180,0,,
G15,6,1,0,910,140,1000,140,0,,
G17,6,1,0,880,260,1000,260,0,,
尽头线,7,1,0,460,140,,,,,
T2,1,1,0,240,360,FALSE,TRUE,0,TRUE,0
D2,1,2,0,60,380,FALSE,FALSE,0,TRUE,0
D4,1,2,0,100,380,TRUE,FALSE,0,TRUE,0
D6,1,3,0,240,490,FALSE,FALSE,0,TRUE,0
D8,1,3,0,260,460,FALSE,FALSE,0,TRUE,0
D10,1,2,0,380,540,TRUE,FALSE,0,TRUE,0
D12,1,3,0,420,420,FALSE,FALSE,0,TRUE,0
D14,1,2,0,580,460,TRUE,FALSE,0,TRUE,0
D16,1,2,0,770,460,FALSE,FALSE,0,TRUE,0
D18,1,2,0,770,460,TRUE,FALSE,0,TRUE,0
D20,1,2,0,770,500,FALSE,FALSE,0,TRUE,0
D22,1,2,0,770,500,TRUE,FALSE,0,TRUE,0
D24,1,2,0,770,620,TRUE,FALSE,0,TRUE,0
L5,1,4,0,950,420,FALSE,FALSE,0,TRUE,2
L6,1,4,0,950,460,FALSE,FALSE,0,TRUE,2
L7,1,4,0,950,500,FALSE,FALSE,0,TRUE,2
L8,1,4,0,950,540,FALSE,FALSE,0,TRUE,2
2,2,1,0,130,380,2,FALSE,0,,
4,2,1,0,180,380,2,TRUE,0,,
10,2,1,0,610,460,2,TRUE,0,,
12,2,1,0,800,460,1,FALSE,0,,
14,2,1,0,800,500,2,TRUE,0,,
16018,2,2,0,880,540,2,TRUE,0,,
G24,3,1,0,20,380,0,0,60,380,0
G25,3,1,0,60,380,0,0,100,380,0
G26,3,1,0,200,380,0,0,240,380,0
G27,3,1,0,290,380,0,0,330,380,0
G28,3,1,0,380,380,0,0,420,420,0
G29,3,2,0,420,420,460,460,500,460,0
G30,3,1,0,540,460,0,0,580,460,0
G31,3,1,0,630,460,0,0,690,460,0
G32,3,1,0,730,460,0,0,770,460,0
G34,3,2,0,624,474,650,500,690,500,0
G35,3,1,0,730,500,0,0,770,500,0
G37,3,2,0,814,514,840,540,860,540,0
G39,3,2,0,814,446,840,420,880,420,0
G41,3,1,0,144,394,0,0,240,490,0
G42,3,2,0,240,490,370,620,770,620,0
G43,3,1,0,820,620,0,0,1000,620,0
G44,3,1,0,194,394,0,0,260,460,0
G45,3,2,0,260,460,340,540,380,540,0
G46,3,1,0,380,540,0,0,460,540,0
g2,4,1,0,500,460,,,,,
g4,4,2,0,690,460,,,,,
g6,4,2,0,690,500,,,,,
J,5,1,0,60,380,,,,,
J,5,1,0,100,380,,,,,
J,5,1,0,150,380,,,,,
J,5,1,0,200,380,,,,,
J,5,1,0,150,380,,,,,
J,5,1,0,420,420,,,,,
J,5,1,0,580,460,,,,,
J,5,1,0,770,460,,,,,
J,5,1,0,770,500,,,,,
J,5,1,0,260,460,,,,,
J,5,1,0,240,490,,,,,
J,5,1,0,770,620,,,,,
J,5,1,0,240,380,,,,,
J,5,1,0,380,380,,,,,
J,5,1,0,820,460,,,,,
J,5,1,0,910,540,,,,,
J,5,1,0,820,460,,,,,
J,5,1,0,820,500,,,,,
J,5,1,0,880,420,,,,,
J,5,1,0,380,540,,,,,
J,5,1,0,630,460,,,,,
G33,6,1,0,820,460,1000,460,0,,
G36,6,1,0,820,500,1000,500,0,,
G38,6,1,0,910,540,1000,540,0,,
G40,6,3,0,880,420,1000,420,0,,
尽头线,7,1,0,460,540,,,,,
